Competition,Year,Age Group,Number,Name,Fling,Sword,Seann Truibhas,Reel,Overall
Pacific Coast Open Championship,2025,7 & U12,350,Dancer1,1,1,1,1,1
Pacific Coast Open Championship,2025,7 & U12,333,Dancer2,2,,2,2,2
Pacific Coast Open Championship,2025,7 & U12,365,Dancer3,3,2,5,5,4
Pacific Coast Open Championship,2025,7 & U12,357,Dancer4,4,3,4,3,3
Pacific Coast Open Championship,2025,7 & U12,364,Dancer5,5,4,3,4,5
Pacific Coast Open Championship,2025,12 & U14,374,Dancer6,1,1,1,1,1
Pacific Coast Open Championship,2025,12 & U14,370,Dancer7,2,3,3,3,2
Pacific Coast Open Championship,2025,12 & U14,377,Dancer8,,2,2,2,3
Pacific Coast Open Championship,2025,12 & U14,368,Dancer9,3,4,4,4,4
Pacific Coast Open Championship,2025,12 & U14,305,Dancer10,4,5,5,,5
Pacific Coast Open Championship,2025,12 & U14,360,Dancer11,5,6,6,6,6
Pacific Coast Open Championship,2025,14 & U16,366,Dancer12,1,1,1,1,
Pacific Coast Open Championship,2025,14 & U16,361,Dancer13,3,2,3,4,2
Pacific Coast Open Championship,2025,14 & U16,355,Dancer14,4,3,2,3,3
Pacific Coast Open Championship,2025,14 & U16,323,Dancer15,2,,5,2,4
Pacific Coast Open Championship,2025,14 & U16,356,Dancer16,5,5,4,5,5
Pacific Coast Open Championship,2025,14 & U16,379,Dancer17,6,4,6,6,6
MW Regionals,2025,7 & U10,101,Dancer18,2,2,3,2,2
MW Regionals,2025,7 & U10,102,Dancer19,3,3,4,3,3
MW Regionals,2025,7 & U10,103,Dancer20,4,4,2,4,4
MW Regionals,2025,7 & U10,104,Dancer21,1,1,1,1,1
MW Regionals,2025,10 & U12,111,Dancer22,4,5,4,4,4
MW Regionals,2025,10 & U12,112,Dancer23,2,2,3,3,2
MW Regionals,2025,10 & U12,113,Dancer24,4,5,5,5,5
MW Regionals,2025,10 & U12,114,Dancer25,6,4,6,6,6
MW Regionals,2025,10 & U12,115,Dancer26,1,1,1,1,1
MW Regionals,2025,10 & U12,116,Dancer27,3,3,2,2,3
MW Regionals,2025,12 & U14,122,Dancer28,,4,3,3,4
MW Regionals,2025,12 & U14,123,Dancer29,5,5,5,4,5
MW Regionals,2025,12 & U14,124,Dancer30,6,3,,,
MW Regionals,2025,12 & U14,125,Dancer31,2,2,1,1,1
MW Regionals,2025,12 & U14,126,Dancer32,,,,,
MW Regionals,2025,12 & U14,127,Dancer33,4,1,4,6,3
MW Regionals,2025,12 & U14,128,Dancer34,3,,6,5,6
MW Regionals,2025,12 & U14,130,Dancer35,,,,,
MW Regionals,2025,12 & U14,131,Dancer36,1,6,2,2,2
MW Regionals,2025,14 & U16,141,Dancer37,,3,6,6,6
MW Regionals,2025,14 & U16,142,Dancer38,5,6,4,2,5
MW Regionals,2025,14 & U16,143,Dancer39,1,,1,,3
MW Regionals,2025,14 & U16,144,Dancer40,4,4,5,3,4
MW Regionals,2025,14 & U16,145,Dancer41,3,2,3,1,1
MW Regionals,2025,14 & U16,146,Dancer42,6,5,,4,
MW Regionals,2025,14 & U16,147,Dancer43,2,1,2,5,2
